NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	46	2.1475260257720947	0.041648965	Yes	
row_1	WNT11	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]	119	1.560683250427246	0.070568606	Yes	
row_2	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	129	1.5117733478546143	0.1007051	Yes	
row_3	WNT2	Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]	206	1.3589333295822144	0.12542115	Yes	
row_4	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	208	1.354209542274475	0.15266353	Yes	
row_5	KITLG	KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]	244	1.3016225099563599	0.17765826	Yes	
row_6	FZD2	frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]	269	1.2609938383102417	0.20221911	Yes	
row_7	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	276	1.2483243942260742	0.22715391	Yes	
row_8	EDNRB	endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]	425	1.0815205574035645	0.24376555	Yes	
row_9	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	456	1.0532342195510864	0.26393187	Yes	
row_10	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	506	1.0071877241134644	0.28250656	Yes	
row_11	ADCY8	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	916	0.7978599667549133	0.28428185	Yes	
row_12	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	1247	0.6881730556488037	0.28660902	Yes	
row_13	ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	1393	0.6543310880661011	0.2947208	Yes	
row_14	CREB3L4	cAMP responsive element binding protein 3 like 4 [Source:HGNC Symbol;Acc:HGNC:18854]	1405	0.6493332386016846	0.3074156	Yes	
row_15	CREB1	cAMP responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2345]	1453	0.6372620463371277	0.31860894	Yes	
row_16	ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	1524	0.622811496257782	0.3287073	Yes	
row_17	CREB3L1	cAMP responsive element binding protein 3 like 1 [Source:HGNC Symbol;Acc:HGNC:18856]	1919	0.5454720258712769	0.32592312	Yes	
row_18	ADCY4	adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]	2267	0.4854625463485718	0.323573	Yes	
row_19	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	2332	0.47494444251060486	0.33090264	Yes	
row_20	WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	2372	0.46898773312568665	0.3389861	Yes	
row_21	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	2382	0.46731793880462646	0.34808454	Yes	
row_22	DCT	dopachrome tautomerase [Source:HGNC Symbol;Acc:HGNC:2709]	2450	0.45982083678245544	0.3550047	Yes	
row_23	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	2480	0.4551079571247101	0.36315814	Yes	
row_24	EP300	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	2560	0.44278183579444885	0.36931565	Yes	
row_25	FZD3	frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]	2675	0.4266180396080017	0.37392423	Yes	
row_26	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	2766	0.4100707173347473	0.37903836	Yes	
row_27	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	2795	0.40690380334854126	0.3862558	Yes	
