NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	71	1.5976219177246094	0.014756194	No	
row_1	H2BC12	H2B clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:13954]	667	1.0228561162948608	0.010246644	No	
row_2	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	1548	0.7884101271629333	-0.0039312285	No	
row_3	MT2A	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]	1642	0.7695316076278687	0.0016830325	No	
row_4	KIF5B	kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]	1870	0.7269271612167358	0.0034524354	No	
row_5	MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	2231	0.6699843406677246	0.0012537604	No	
row_6	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	2540	0.6276679039001465	-6.285777E-5	No	
row_7	HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	2833	0.5943225026130676	-0.0013187428	No	
row_8	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	3120	0.5657072067260742	-0.0027188417	No	
row_9	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	3178	0.559989333152771	0.001637814	No	
row_10	MEIS1	Meis homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7000]	3220	0.5553183555603027	0.0063524144	No	
row_11	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	3597	0.5215808749198914	0.002209172	No	
row_12	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	3650	0.5173076391220093	0.006250418	No	
row_13	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	3696	0.5114633440971375	0.010408869	No	
row_14	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	4075	0.48080146312713623	0.0057921517	No	
row_15	BUB3	BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]	4165	0.4748138189315796	0.008453241	No	
row_16	KPNB1	karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]	4987	0.41810739040374756	-0.008064383	No	
row_17	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	5017	0.4162866771221161	-0.0044860817	No	
row_18	MNAT1	MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181]	5425	0.39328843355178833	-0.010746402	No	
row_19	CHMP1A	charged multivesicular body protein 1A [Source:HGNC Symbol;Acc:HGNC:8740]	6351	0.3518088459968567	-0.03059255	No	
row_20	SLC38A1	solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]	6562	0.3446512222290039	-0.032353695	No	
row_21	AMD1	adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]	7044	0.3298073410987854	-0.04115141	No	
row_22	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	7213	0.325279176235199	-0.042046655	No	
row_23	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	7660	0.3150787353515625	-0.050108124	No	
row_24	CBX1	chromobox 1 [Source:HGNC Symbol;Acc:HGNC:1551]	7946	0.30897313356399536	-0.054143883	No	
row_25	PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	9656	0.2831198573112488	-0.09461361	No	
row_26	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	9778	0.28171268105506897	-0.09476674	No	
row_27	PRIM2	DNA primase subunit 2 [Source:HGNC Symbol;Acc:HGNC:9370]	10005	0.2789725363254547	-0.09761501	No	
row_28	CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	12877	0.2510663866996765	-0.16792883	No	
row_29	RBM14	RNA binding motif protein 14 [Source:HGNC Symbol;Acc:HGNC:14219]	15085	0.23152564465999603	-0.22158128	No	
row_30	UCK2	uridine-cytidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12562]	16934	0.21537594497203827	-0.26628342	No	
row_31	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	18043	0.20418304204940796	-0.29230747	No	
row_32	HIRA	histone cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:4916]	18109	0.2028229683637619	-0.29185602	No	
