NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMCC2	transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239]	31	1.8406320810317993	0.019783674	Yes	
row_1	ATG4A	autophagy related 4A cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16489]	96	1.5105061531066895	0.035039727	Yes	
row_2	OPTN	optineurin [Source:HGNC Symbol;Acc:HGNC:17142]	169	1.364412784576416	0.048459854	Yes	
row_3	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1144]	195	1.3321421146392822	0.062713005	Yes	
row_4	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	236	1.281982660293579	0.07602461	Yes	
row_5	HAGH	hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]	333	1.1950968503952026	0.08694291	Yes	
row_6	BLVRA	biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]	351	1.1860021352767944	0.09976597	Yes	
row_7	PDZK1IP1	PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16887]	353	1.1846556663513184	0.11298034	Yes	
row_8	MOSPD1	motile sperm domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25235]	429	1.1396526098251343	0.12381235	Yes	
row_9	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	430	1.1396123170852661	0.13654871	Yes	
row_10	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	458	1.1206779479980469	0.14838773	Yes	
row_11	USP15	ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]	498	1.099912166595459	0.1596899	Yes	
row_12	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	677	1.0192081928253174	0.16655988	Yes	
row_13	EPOR	erythropoietin receptor [Source:HGNC Symbol;Acc:HGNC:3416]	768	0.9897922873497009	0.17533606	Yes	
row_14	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	796	0.9795860052108765	0.18559824	Yes	
row_15	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	824	0.9724079370498657	0.19578019	Yes	
row_16	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	1031	0.9110533595085144	0.20073028	Yes	
row_17	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	1082	0.8945596814155579	0.20945805	Yes	
row_18	BPGM	bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]	1111	0.8873354196548462	0.21866383	Yes	
row_19	ACKR1	atypical chemokine receptor 1 (Duffy blood group) [Source:HGNC Symbol;Acc:HGNC:4035]	1269	0.8456834554672241	0.22412781	Yes	
row_20	ADIPOR1	adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]	1364	0.8257954716682434	0.2309696	Yes	
row_21	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]	1455	0.8049391508102417	0.23767985	Yes	
row_22	PRDX2	peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]	1500	0.7957822680473328	0.24545607	Yes	
row_23	SEC14L1	SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698]	1629	0.7726482152938843	0.25084034	Yes	
row_24	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	1656	0.7665088772773743	0.25874656	Yes	
row_25	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	1938	0.7150798439979553	0.25960162	Yes	
