NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	5	2.246859550476074	0.01654546	No	
row_1	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	23	1.8893380165100098	0.030133221	No	
row_2	FSTL3	follistatin like 3 [Source:HGNC Symbol;Acc:HGNC:3973]	40	1.7664457559585571	0.04283448	No	
row_3	PVR	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]	119	1.4501677751541138	0.051614203	No	
row_4	QSOX1	quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]	167	1.365020990371704	0.060549434	No	
row_5	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	176	1.358560562133789	0.070427224	No	
row_6	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	256	1.2653533220291138	0.07781017	No	
row_7	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	281	1.2444883584976196	0.08643515	No	
row_8	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	285	1.2386746406555176	0.095550336	No	
row_9	CAP2	cyclase associated actin cytoskeleton regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:20039]	302	1.2222765684127808	0.10421368	No	
row_10	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	367	1.1728373765945435	0.11129108	No	
row_11	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	371	1.1714692115783691	0.11990758	No	
row_12	RGS4	regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]	405	1.1534748077392578	0.12762864	No	
row_13	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	417	1.146195650100708	0.13585441	No	
row_14	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	422	1.14200758934021	0.14422691	No	
row_15	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	471	1.1135447025299072	0.1512707	No	
row_16	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	513	1.0900487899780273	0.15831792	No	
row_17	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	655	1.0271064043045044	0.16235836	No	
row_18	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	704	1.007154941558838	0.1686127	No	
row_19	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]	769	0.9895389676094055	0.17432997	No	
row_20	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	807	0.9768477082252502	0.1806388	No	
row_21	FOXC2	forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]	813	0.9743905067443848	0.18774211	No	
row_22	CDH6	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	845	0.9649976491928101	0.1941154	No	
row_23	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	846	0.9649268388748169	0.20127548	No	
row_24	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	887	0.9528319835662842	0.20732991	No	
row_25	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	989	0.9248005151748657	0.2116271	No	
row_26	IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	1035	0.9076599478721619	0.21721935	No	
row_27	MATN2	matrilin 2 [Source:HGNC Symbol;Acc:HGNC:6908]	1053	0.9012700319290161	0.22347532	No	
row_28	MEST	mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]	1148	0.8791139125823975	0.22761127	No	
row_29	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	1170	0.8735025525093079	0.23355961	No	
row_30	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	1271	0.8452848792076111	0.23729216	No	
row_31	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	1281	0.8442029356956482	0.24332784	No	
row_32	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1341	0.8300248980522156	0.24798846	No	
row_33	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	1602	0.7772426009178162	0.2471525	No	
row_34	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1862	0.7285452485084534	0.24598062	No	
row_35	CCN2	cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500]	1887	0.7241612076759338	0.25074458	No	
row_36	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	2030	0.6981450915336609	0.25231862	No	
row_37	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	2119	0.6846254467964172	0.2551638	No	
row_38	GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	2124	0.6843163967132568	0.26014006	No	
row_39	SCG2	secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]	2393	0.6484682559967041	0.2581454	No	
row_40	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	2526	0.6289921998977661	0.25946024	No	
row_41	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	2917	0.5862711668014526	0.25390556	No	
row_42	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	3118	0.5657281279563904	0.25302395	No	
row_43	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	3124	0.5654588937759399	0.25709286	No	
row_44	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	3178	0.559989333152771	0.25990212	No	
row_45	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	3214	0.5559222102165222	0.26313832	No	
row_46	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	3240	0.5540819764137268	0.26661485	No	
row_47	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	3524	0.5274112820625305	0.26334095	No	
row_48	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	3544	0.5261318683624268	0.26676247	No	
row_49	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	3573	0.5234424471855164	0.26993546	No	
row_50	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	4048	0.482899934053421	0.26148033	No	
row_51	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	4368	0.4615935683250427	0.25680372	No	
row_52	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	4406	0.4587799906730652	0.2592683	No	
row_53	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	4594	0.4450933039188385	0.25782174	No	
row_54	SGCB	sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]	4892	0.4239107668399811	0.25342426	No	
row_55	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]	4935	0.42117831110954285	0.25548282	No	
row_56	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	5030	0.41551175713539124	0.2561787	No	
row_57	POSTN	periostin [Source:HGNC Symbol;Acc:HGNC:16953]	5114	0.4114699363708496	0.25712395	No	
row_58	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	5314	0.3993678092956543	0.2550333	No	
row_59	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	5682	0.38132134079933167	0.24854197	No	
row_60	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	6106	0.36266762018203735	0.24048994	No	
row_61	MYL9	myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]	6165	0.36004453897476196	0.24168855	No	
row_62	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	6505	0.34668681025505066	0.23565134	No	
row_63	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	6626	0.34257835149765015	0.23514569	No	
row_64	OXTR	oxytocin receptor [Source:HGNC Symbol;Acc:HGNC:8529]	6643	0.3418939411640167	0.2372763	No	
row_65	CXCL6	C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643]	8284	0.3026113510131836	0.19786993	No	
row_66	TAGLN	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	9610	0.2837081849575043	0.16632348	No	
row_67	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	10042	0.2786113917827606	0.15744457	No	
row_68	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	11766	0.26082006096839905	0.11562009	No	
row_69	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	15846	0.22480711340904236	0.013691952	No	
row_70	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	16539	0.21876771748065948	-0.0022597671	No	
row_71	TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	17436	0.21057060360908508	-0.023453396	No	
row_72	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	18245	0.2000274956226349	-0.04249028	No	
row_73	CALU	calumenin [Source:HGNC Symbol;Acc:HGNC:1458]	18319	0.19904857873916626	-0.04286729	No	
