NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNOT6L	CCR4-NOT transcription complex subunit 6 like [Source:HGNC Symbol;Acc:HGNC:18042]	262	1.2759878635406494	0.075623035	Yes	
row_1	DDX6	DEAD-box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]	402	1.103477954864502	0.14407857	Yes	
row_2	LSM8	LSM8 homolog, U6 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:20471]	1008	0.7641151547431946	0.17372586	Yes	
row_3	PARN	poly(A)-specific ribonuclease [Source:HGNC Symbol;Acc:HGNC:8609]	1608	0.6042924523353577	0.19296513	Yes	
row_4	CNOT6	CCR4-NOT transcription complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:14099]	1697	0.5870222449302673	0.22889121	Yes	
row_5	CNOT3	CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]	1709	0.5853832960128784	0.2673957	Yes	
row_6	EDC3	enhancer of mRNA decapping 3 [Source:HGNC Symbol;Acc:HGNC:26114]	2417	0.46286138892173767	0.27347016	Yes	
row_7	EXOSC9	exosome component 9 [Source:HGNC Symbol;Acc:HGNC:9137]	2559	0.4430854916572571	0.29798442	Yes	
row_8	XRN2	5'-3' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:12836]	2931	0.3900584578514099	0.3109489	Yes	
row_9	MTREX	Mtr4 exosome RNA helicase [Source:HGNC Symbol;Acc:HGNC:18734]	3284	0.347221702337265	0.32173076	Yes	
row_10	XRN1	5'-3' exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:30654]	3460	0.32801002264022827	0.3374137	Yes	
row_11	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	4155	0.2533220946788788	0.33002162	Yes	
row_12	CNOT8	CCR4-NOT transcription complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:9207]	4177	0.25035467743873596	0.34592038	Yes	
row_13	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]	4196	0.2488454431295395	0.3618236	Yes	
row_14	EXOSC10	exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138]	4674	0.2020907700061798	0.35860148	Yes	
row_15	CNOT9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	5327	0.15109172463417053	0.34588385	Yes	
row_16	ZCCHC7	zinc finger CCHC-type containing 7 [Source:HGNC Symbol;Acc:HGNC:26209]	5586	0.1293371170759201	0.3454717	Yes	
row_17	DCPS	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]	5769	0.11546344310045242	0.34679037	Yes	
row_18	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17017]	5788	0.11398717015981674	0.35373458	Yes	
row_19	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]	5802	0.11312806606292725	0.36079627	Yes	
row_20	EXOSC8	exosome component 8 [Source:HGNC Symbol;Acc:HGNC:17035]	6090	0.09227650612592697	0.35691002	Yes	
