NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	5	2.246859550476074	0.020374384	Yes	
row_1	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	27	1.8659758567810059	0.036867086	Yes	
row_2	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	29	1.8561078310012817	0.053777657	Yes	
row_3	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	34	1.8117705583572388	0.07020749	Yes	
row_4	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	52	1.7167134284973145	0.08543983	Yes	
row_5	PHLDA2	pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]	121	1.4462980031967163	0.09690961	Yes	
row_6	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	156	1.3852436542510986	0.108685754	Yes	
row_7	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	176	1.358560562133789	0.12059936	Yes	
row_8	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	187	1.3428590297698975	0.13259827	Yes	
row_9	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	243	1.2731668949127197	0.14281845	Yes	
row_10	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	249	1.2708311080932617	0.15428711	Yes	
row_11	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	273	1.2544965744018555	0.16514961	Yes	
row_12	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	281	1.2444883584976196	0.17632712	Yes	
row_13	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	378	1.1665273904800415	0.18453307	Yes	
row_14	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	380	1.1658915281295776	0.1951458	Yes	
row_15	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	392	1.160370111465454	0.20545419	Yes	
row_16	EHD1	EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]	465	1.1155412197113037	0.21380441	Yes	
row_17	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	507	1.0918967723846436	0.22272615	Yes	
row_18	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	651	1.0277658700942993	0.2284724	Yes	
row_19	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	660	1.02559494972229	0.23762722	Yes	
row_20	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	700	1.009742021560669	0.24585015	Yes	
row_21	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]	708	1.0064831972122192	0.254856	Yes	
row_22	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	710	1.0055173635482788	0.2640054	Yes	
row_23	SLC2A6	solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]	723	1.003881573677063	0.2728605	Yes	
row_24	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	807	0.9768477082252502	0.27966586	Yes	
row_25	TNIP1	TNFAIP3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16903]	870	0.9574223160743713	0.2868273	Yes	
row_26	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	896	0.9494892954826355	0.29485598	Yes	
row_27	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	916	0.9425452947616577	0.3029737	Yes	
row_28	NFKBIE	NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]	982	0.9267628788948059	0.30977917	Yes	
row_29	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	1034	0.9089054465293884	0.31677726	Yes	
row_30	F2RL1	F2R like trypsin receptor 1 [Source:HGNC Symbol;Acc:HGNC:3538]	1072	0.8964976668357849	0.32401767	Yes	
row_31	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	1153	0.8778331279754639	0.32999578	Yes	
row_32	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	1188	0.8691135048866272	0.3370625	Yes	
row_33	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1217	0.8605923056602478	0.3442039	Yes	
