NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	240	1.3039566278457642	0.010517236	No	
row_1	BACE1	beta-secretase 1 [Source:HGNC Symbol;Acc:HGNC:933]	376	1.1352508068084717	0.022264356	No	
row_2	MME	membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]	387	1.1196717023849487	0.03816442	No	
row_3	PPP3CB	protein phosphatase 3 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9315]	617	0.9408573508262634	0.043797158	No	
row_4	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	864	0.8146653771400452	0.04700286	No	
row_5	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	1096	0.7336574196815491	0.04955833	No	
row_6	MT-CO1	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	1373	0.6590326428413391	0.049454276	No	
row_7	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	1413	0.6482289433479309	0.0574961	No	
row_8	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	1902	0.5480958819389343	0.048355095	No	
row_9	MT-CO3	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	1908	0.5475384593009949	0.056126647	No	
row_10	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	2042	0.5247360467910767	0.05908311	No	
row_11	NDUFA4L2	NDUFA4 mitochondrial complex associated like 2 [Source:HGNC Symbol;Acc:HGNC:29836]	2120	0.5134812593460083	0.06383804	No	
row_12	PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	2177	0.5009170770645142	0.0691463	No	
row_13	MT-CYB	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	2286	0.4821879267692566	0.072361045	No	
row_14	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	2332	0.47494444251060486	0.07767771	No	
row_15	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	2480	0.4551079571247101	0.07913317	No	
row_16	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]	2802	0.40589073300361633	0.073778674	No	
row_17	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]	3011	0.38089531660079956	0.07202007	No	
row_18	MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	3206	0.35754263401031494	0.070412986	No	
row_19	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10 [Source:HGNC Symbol;Acc:HGNC:7684]	3422	0.33209240436553955	0.067700855	No	
row_20	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	3489	0.32504597306251526	0.07010628	No	
row_21	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	3640	0.3083766996860504	0.06932705	No	
row_22	BACE2	beta-secretase 2 [Source:HGNC Symbol;Acc:HGNC:934]	4151	0.2535109519958496	0.055139866	No	
row_23	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	4386	0.22937627136707306	0.05027134	No	
row_24	IDE	insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	4580	0.21060989797115326	0.04656678	No	
row_25	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	4803	0.19214439392089844	0.041578278	No	
row_26	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:3255]	4935	0.18108785152435303	0.03961726	No	
row_27	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	4980	0.17812862992286682	0.040661108	No	
row_28	MT-CO2	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	5118	0.16646675765514374	0.03827769	No	
row_29	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]	5377	0.1477549523115158	0.031383775	No	
row_30	ATP5MC2	ATP synthase membrane subunit c locus 2 [Source:HGNC Symbol;Acc:HGNC:842]	5439	0.14240074157714844	0.031313535	No	
row_31	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	5816	0.1123928353190422	0.019772567	No	
row_32	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1 [Source:HGNC Symbol;Acc:HGNC:7716]	6292	0.0760979950428009	0.0042366255	No	
row_33	GNAQ	G protein subunit alpha q [Source:HGNC Symbol;Acc:HGNC:4390]	6450	0.06447334587574005	-3.2772613E-4	No	
row_34	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	6500	0.06080980971455574	-0.001161749	No	
row_35	COX7A1	cytochrome c oxidase subunit 7A1 [Source:HGNC Symbol;Acc:HGNC:2287]	6502	0.06034064665436745	-3.210257E-4	No	
row_36	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	6556	0.05694758892059326	-0.0013512326	No	
row_37	PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	6794	0.040557365864515305	-0.009065282	No	
row_38	ATP5F1A	ATP synthase F1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:823]	6818	0.039035696536302567	-0.009304482	No	
row_39	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]	6878	0.03501756489276886	-0.010863165	No	
row_40	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	7003	0.027435924857854843	-0.014808991	No	
row_41	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	7076	0.023629816249012947	-0.016988372	No	
row_42	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	7350	0.007922754622995853	-0.026437232	No	
row_43	COX6CP3	cytochrome c oxidase subunit 6C pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:31721]	7758	0.0	-0.04069542	No	
row_44	ATP5F1D	ATP synthase F1 subunit delta [Source:HGNC Symbol;Acc:HGNC:837]	8349	-0.002144214930012822	-0.061333418	No	
row_45	COX4I2	cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]	8737	-0.024865949526429176	-0.074530065	No	
row_46	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	8842	-0.03145706281065941	-0.07771689	No	
row_47	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	9066	-0.04382108896970749	-0.08489311	No	
row_48	COX8C	cytochrome c oxidase subunit 8C [Source:HGNC Symbol;Acc:HGNC:24382]	9786	-0.07508580386638641	-0.10899165	No	
row_49	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	10041	-0.08759616315364838	-0.11661855	No	
row_50	NCSTN	nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]	10342	-0.09130175411701202	-0.12580316	No	
row_51	COX7A2L	cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]	10492	-0.09818590432405472	-0.12959796	No	
row_52	CHP1	calcineurin like EF-hand protein 1 [Source:HGNC Symbol;Acc:HGNC:17433]	10495	-0.09853153675794601	-0.12823799	No	
row_53	RYR3	ryanodine receptor 3 [Source:HGNC Symbol;Acc:HGNC:10485]	10529	-0.09981585294008255	-0.12794538	No	
row_54	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:813]	11085	-0.11729484796524048	-0.145686	No	
row_55	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]	11693	-0.13565827906131744	-0.1649818	No	
row_56	UQCR10P1	UQCR10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54960]	11813	-0.13601796329021454	-0.16717654	No	
row_57	NAE1	NEDD8 activating enzyme E1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:621]	12399	-0.15133313834667206	-0.18547413	No	
row_58	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	12402	-0.15145929157733917	-0.18334597	No	
row_59	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like [Source:HGNC Symbol;Acc:HGNC:51714]	12431	-0.15245455503463745	-0.18211423	No	
row_60	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	12540	-0.15711504220962524	-0.18361744	No	
